Sl,L.R. No,Consignor GST,Name,Address,Consignee GST,Name,Address,Date of Booking,Date of Delivery,No. of items,Commodity,Goods Value(Rs.)
1,GLP16-,37BPJPS7329B1ZN,SIVA SAI AGENCY &FABRICATING WORKS,kakinada,37ACUPJ7584L1ZJ,BABA HARDWARES,VIJAYAWADA,2018-02-19,0000-00-00,6,iron mesh,17937
2,GLP17-,37ANKPB1729Q1ZL,GOWTHAMI METALS,VIJAYAWADA,37AAHFM8694B1ZY,MOHAN INDUSTREIS,SAMARLAKOTA,2018-02-19,0000-00-00,3,STEEL,22512
3,GLP18-,37bwlps4246l1zs,modern traders,vijayawada,37AAAFL5642N1Z2,INDO ASIAN MARINE SUPPLIER SYNDICATE,KAKINADA,2018-02-19,0000-00-00,12,COTTON WIPER RAGS,12600
4,GLP19-,37ALDPK3145Q1ZP,S N R AGENCIES,VIJAYAWADA,37AAXFS0393K1ZD,SRI KESAVA FERTILISERS,KAKINADA,2018-02-19,0000-00-00,80,BLEACHING POWDER,42400
5,GLP110-,37ALDPK3145Q1ZP,S N R AGENCIES,VIJAYAWADA,37AAXFS0393K1ZD,SRI KESAVA FERTILISERS,KAKINADA,2018-02-19,0000-00-00,80,BLEACHING POWER,42400
6,GLP111-,37ALDPK3145Q1ZP,S N R AGENCIES,VIJAYAWADA,37AARPV7267P1ZA,VANKAYALA SURYA NARAYANA &SONS,PEDDAPURAM,2018-02-19,0000-00-00,80,BLEACHING POWDER,42400
7,GLP112-,37aafpj8202l1zl,jacop scientifics,vijayawada,bhavanipuram,37ahtpa8251h1z2,satya surgicals,rajahmundry,2018-02-19,0000-00-00,5,surgicals,26656
8,HPT112-,37aekpp2125h1zh,ESTEEM CORPORATION,VIJAYAWADA,37btnpk6569b1zb,sri sai sanjana a/g,rajahmundry,2018-02-19,0000-00-00,4,stationery,36049
9,GLP113-,37AARPN3894L1ZP,VIJAYA RESINS &COATINGS,VIJAYAWADA,37BAJPB4653G1Z5,SRI HARDWARE,KAKINADA,2018-02-19,0000-00-00,4,PAINT,1448
10,HPT113-,37aenpp0060l1z7,page-3,vijayawada,37abbpk6543l1ze,kundan fashion,rajahmundry,2018-02-19,0000-00-00,1,cloth,17640
11,GLP114-,37AIJPG0018P1Z5,BHANU PRODUCTS,VIJAYAWADA,37AGPPT4063R1ZA,RAJ AGENCIES,KAKINADA,2018-02-19,0000-00-00,1,CALCIUM PROPIONA,6400
12,HPT114-,37aenpp0060l1z7,page-3,vijayawada,37aalfc7068b1ze,chandra readymades,rajahmundry,2018-02-19,0000-00-00,2,cloth,63875
